episode_index,length_frames,length_seconds
947,1877,62.567
948,2131,71.033
949,1894,63.133
950,2054,68.467
951,2141,71.367
952,1868,62.267
953,1594,53.133
954,1417,47.233
955,1909,63.633
956,2205,73.5
957,1711,57.033
958,1640,54.667
959,1598,53.267
960,2143,71.433
961,1992,66.4
962,1960,65.333
963,2140,71.333
964,1780,59.333
965,2094,69.8
966,1880,62.667
967,1727,57.567
968,2136,71.2
969,1459,48.633
970,1495,49.833
971,1451,48.367
972,1652,55.067
973,2220,74.0
974,1852,61.733
975,1790,59.667
976,1818,60.6
977,1661,55.367
978,1837,61.233
979,2854,95.133
980,1739,57.967
981,1797,59.9
982,1804,60.133
983,1931,64.367
984,1636,54.533
985,1836,61.2
986,1849,61.633
987,1784,59.467
988,1605,53.5
989,1881,62.7
990,1888,62.933
991,1916,63.867
992,1652,55.067
993,1987,66.233
994,2105,70.167
995,1830,61.0
996,2298,76.6
997,1905,63.5
998,1694,56.467
999,1613,53.767
1000,1801,60.033
1001,2179,72.633
1002,2435,81.167
1003,1667,55.567
1004,1939,64.633
1005,1710,57.0
1006,1431,47.7
1007,2333,77.767
1008,1885,62.833
1009,2171,72.367
1010,1635,54.5
1011,1722,57.4
1012,1761,58.7
1013,1985,66.167
1014,1877,62.567
1015,1692,56.4
1016,1973,65.767
1017,1745,58.167
1018,1812,60.4
1019,1806,60.2
1020,2118,70.6
1021,2129,70.967
1022,2343,78.1
1023,1922,64.067
1024,1967,65.567
1025,1375,45.833
1026,1945,64.833
1027,1954,65.133
1028,1600,53.333
1029,1578,52.6
1030,2064,68.8
1031,2072,69.067
1032,1792,59.733
1033,1957,65.233
1034,1872,62.4
1035,1730,57.667
1036,1745,58.167
1037,2097,69.9
1038,1598,53.267
1039,1853,61.767
1040,1954,65.133
1041,1836,61.2
1042,2118,70.6
1043,1812,60.4
1044,1705,56.833
1045,1768,58.933
1046,1618,53.933
1047,2640,88.0
1048,1684,56.133
1049,1806,60.2
1050,1768,58.933
1051,2014,67.133
1052,1530,51.0
1053,2165,72.167
1054,2024,67.467
1055,1426,47.533
1056,2053,68.433
1057,1827,60.9
1058,1721,57.367
1059,2015,67.167
1060,1514,50.467
1061,1678,55.933
1062,2080,69.333
1063,1776,59.2
1064,2318,77.267
1065,1470,49.0
1066,1889,62.967
1067,1558,51.933
1068,1656,55.2
1069,1826,60.867
1070,1767,58.9
1071,2177,72.567
1072,1527,50.9
1073,2151,71.7
1074,1513,50.433
1075,1428,47.6
1076,1755,58.5
1077,1784,59.467
1078,1905,63.5
1079,1786,59.533
1080,2058,68.6
1081,2005,66.833
1082,2121,70.7
1083,1828,60.933
1084,1612,53.733
1085,1535,51.167
1086,1766,58.867
1087,1572,52.4
1088,1883,62.767
1089,1760,58.667
1090,1957,65.233
1091,1420,47.333
1092,1919,63.967
1094,1950,65.0
1095,1621,54.033
1096,1917,63.9
1097,1915,63.833
1098,1840,61.333
1099,2197,73.233
1100,1360,45.333
1101,2180,72.667
1102,1829,60.967
1103,1747,58.233
1104,1522,50.733
1105,1995,66.5
1106,1937,64.567
1107,1935,64.5
1108,1793,59.767
1109,1781,59.367
1110,1930,64.333
1111,1806,60.2
1112,1733,57.767
1113,1889,62.967
1114,1565,52.167
1115,1800,60.0
1116,1526,50.867
1117,1634,54.467
1118,1636,54.533
1119,1823,60.767
1120,1718,57.267
1121,1676,55.867
1122,1747,58.233
1123,2356,78.533
1124,1784,59.467
1125,1831,61.033
1126,1988,66.267
1127,1920,64.0
1128,2122,70.733
1129,1913,63.767
1130,1650,55.0
1131,2189,72.967
1132,1691,56.367
1133,1863,62.1
1134,2091,69.7
1135,1882,62.733
1136,1870,62.333
1137,2368,78.933
1138,2125,70.833
1139,1843,61.433
1140,2250,75.0
1142,1672,55.733
1143,1721,57.367
1144,1447,48.233
1145,1468,48.933
1146,1632,54.4
1147,1851,61.7
1148,1993,66.433
1149,1734,57.8
1150,1702,56.733
1151,2388,79.6
1152,2109,70.3
1153,1398,46.6
1154,2209,73.633
1155,1764,58.8
1156,1808,60.267
1157,1542,51.4
1158,1499,49.967
1159,1701,56.7
1160,1724,57.467
1161,1768,58.933
1162,1682,56.067
1163,1431,47.7
1164,1624,54.133
1165,1452,48.4
1166,1560,52.0
1167,1721,57.367
1168,1360,45.333
1169,1479,49.3
1170,1621,54.033
1171,1613,53.767
1172,1386,46.2
1173,1574,52.467
1174,1444,48.133
1175,1388,46.267
1176,1576,52.533
1177,1527,50.9
1178,1737,57.9
1179,1612,53.733
1180,1810,60.333
1181,1745,58.167
1182,1841,61.367
1183,1863,62.1
1184,1932,64.4
1185,1865,62.167
1186,1935,64.5
1187,1970,65.667
1188,2250,75.0
1189,1810,60.333
